GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clipper,com.clipper.util,Utilities.new Authenticator() {...},9,0,0,0,2,0,2,0,2,0
Clipper,com.clipper.util,Utilities,171,0,4,0,42,0,6,0,4,0
Clipper,com.clipper.service,LikeService,20,7,0,0,4,3,4,2,4,2
Clipper,com.clipper.service,PostService,35,7,0,0,7,3,7,2,7,2
Clipper,com.clipper.service,PostImageService,8,7,0,0,2,3,2,2,2,2
Clipper,com.clipper.service,UserService,33,7,0,0,7,3,7,2,7,2
Clipper,com.clipper,Driver,31,0,0,0,8,0,2,0,2,0
Clipper,com.clipper.model,Post,49,24,0,0,15,9,10,3,10,3
Clipper,com.clipper.model,PostImage,35,18,0,0,9,7,6,3,6,3
Clipper,com.clipper.model,UserDTO,26,0,0,0,12,0,6,0,6,0
Clipper,com.clipper.model,LikeDTO,24,12,0,0,10,5,7,1,7,1
Clipper,com.clipper.model,Like,36,67,8,10,13,19,12,7,4,6
Clipper,com.clipper.model,User,123,39,0,0,34,14,21,3,21,3
Clipper,com.clipper.model,PostImageDTO,26,0,0,0,11,0,6,0,6,0
Clipper,com.clipper.model,UserDTOProfile,86,0,0,0,35,0,18,0,18,0
Clipper,com.clipper.model,PostDTO,26,0,0,0,11,0,6,0,6,0
Clipper,com.clipper.model,UserDTOEmail,10,0,0,0,4,0,3,0,3,0
Clipper,com.clipper.dao,PostDao,24,101,0,0,5,31,2,7,2,7
Clipper,com.clipper.dao,UserDao,55,101,0,0,9,31,3,7,3,7
Clipper,com.clipper.dao,LikeDao,24,101,0,0,5,31,2,7,2,7
Clipper,com.clipper.dao,PostImageDao,3,101,0,0,1,31,1,7,1,7
Clipper,com.clipper.controller,UserController,157,7,10,0,39,3,12,2,7,2
Clipper,com.clipper.controller,LikeController,69,7,2,0,14,3,3,2,2,2
Clipper,com.clipper.controller,PostImageController,18,7,0,0,2,3,2,2,2,2
Clipper,com.clipper.controller,PostController,47,7,0,0,7,3,7,2,7,2
